"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1677","GET - Get User test","chromium","2026-07-02","passed","2026-07-02","","api/users.api.schema.spec.ts","",""
"","2887","verify searchResults count - macbook - MacBook Pro","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","3034","Intercept and log requests","chromium","2026-07-02","passed","2026-07-02","","api/intercept.spec.ts","",""
"","23383","@regression Verify shopping cart product information test","chromium","2026-07-02","passed","2026-07-02","","cartPage.spec.ts","",""
"","2250","invalid login test with excel data -invalid@open.com - wrongPassword123","chromium","2026-07-02","passed","2026-07-02","","loginpagefixture.spec.ts","",""
"","2843","@sanity Enter New User Info test Entering for - ema - wotson","chromium","2026-07-02","passed","2026-07-02","","registration.spec.ts","",""
"","326","GET API = get all users test","chromium","2026-07-02","passed","2026-07-02","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","3579","verify each product details test for -MacBook Pro","chromium","2026-07-02","passed","2026-07-02","","productPage.spec.ts","",""
"","2490","verify all footers exist on the page test","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","2472","log out link exist test","chromium","2026-07-02","passed","2026-07-02","","homepage.spec.ts","",""
"","4129","verify each product details test for -iPhone","chromium","2026-07-02","passed","2026-07-02","","productPage.spec.ts","",""
"","2497","verify logo and footer on product page test","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","2087","invalid login test with json data -wrong@open.com - wrong@123","chromium","2026-07-02","passed","2026-07-02","","loginpagefixture.spec.ts","",""
"","2622","@sanity Enter New User Info test Entering for - kristi - shain","chromium","2026-07-02","passed","2026-07-02","","registration.spec.ts","",""
"","2358","invalid login test with json data -invalidUser@open.com -","chromium","2026-07-02","passed","2026-07-02","","loginpagefixture.spec.ts","",""
"","314","GoRestAPI - Verify Delete User - DELETE call test","chromium","2026-07-02","passed","2026-07-02","","api/users.api.spec.ts","",""
"","2529","verify User able to logIn Successfully with fixture test","chromium","2026-07-02","passed","2026-07-02","","loginpagefixture.spec.ts","",""
"","2316","invalid login test with excel data - - !Spring123","chromium","2026-07-02","passed","2026-07-02","","loginpagefixture.spec.ts","",""
"","2579","verify logo and footer on home page test","chromium","2026-07-02","passed","2026-07-02","","homepagefix.spec.ts","",""
"","1824","@sanity verify logo and footer on product page test","chromium","2026-07-02","passed","2026-07-02","","loginpagefixture.spec.ts","",""
"","330","DELETE API -- Delete User test","chromium","2026-07-02","passed","2026-07-02","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","378","POST API = Create a User test","chromium","2026-07-02","passed","2026-07-02","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","373","GoRestAPI - Verify Create User - POST call test","chromium","2026-07-02","passed","2026-07-02","","api/users.api.spec.ts","",""
"","2281","invalid login test with json data -pwbatchtest@open.com - wrong@123","chromium","2026-07-02","passed","2026-07-02","","loginpagefixture.spec.ts","",""
"","2587","@sanity Home Page title test with fixtures","chromium","2026-07-02","passed","2026-07-02","","homepagefix.spec.ts","",""
"","3690","verify each product details test for -iPod Classic","chromium","2026-07-02","passed","2026-07-02","","productPage.spec.ts","",""
"","692","GET - Get All Users test","chromium","2026-07-02","passed","2026-07-02","","api/users.api.schema.spec.ts","",""
