"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43665","@sanity verify logo and footer on product page test","chromium","2026-07-03","broken","2026-07-03","","loginpagefixture.spec.ts","",""
"","42909","@sanity Login Page with fixture test","chromium","2026-07-03","broken","2026-07-03","","loginpagefixture.spec.ts","",""
"","42858","@sanity Enter New User Info test Entering for - ema - wotson","chromium","2026-07-03","broken","2026-07-03","","registration.spec.ts","",""
"","43024","@sanity Enter New User Info test Entering for - Roy - han","chromium","2026-07-03","broken","2026-07-03","","registration.spec.ts","",""
"","40214","@sanityverify all footers exist on the page test","chromium","2026-07-03","broken","2026-07-03","","loginpagefixture.spec.ts","",""
"","42923","@sanity Enter New User Info test Entering for - kristi - shain","chromium","2026-07-03","broken","2026-07-03","","registration.spec.ts","",""
"","42863","@sanity invalid login test with - - pw1234","chromium","2026-07-03","broken","2026-07-03","","loginpagefixture.spec.ts","",""
"","42871","@sanity invalid login test with -pwtestbatch@open.com -","chromium","2026-07-03","broken","2026-07-03","","loginpagefixture.spec.ts","",""
"","42802","@sanity invalid login test with -invalid@open.com - wrongPassword123","chromium","2026-07-03","broken","2026-07-03","","loginpagefixture.spec.ts","",""
"","43576","@sanity Home Page title test with fixtures","chromium","2026-07-03","broken","2026-07-03","","homepagefix.spec.ts","",""
